Taxi ID, Max openSet Size, A* Steps, Distance
1, 135, 1897, 3.338674766845227
2, 186, 786, 3.747154616738239
3, 267, 4375, 6.182569401620566
4, 199, 3231, 4.986238065504144
5, 369, 8191, 4.7740453589826
6, 255, 3930, 5.039693474942212
7, 404, 7584, 5.122520013931955
8, 84, 753, 1.7590527336134107
9, 100, 776, 3.1174264843418844
10, 202, 1858, 4.564152438056179
