Taxi ID, Max openSet Size, A* Steps, Distance
1, 128, 1896, 3.338674766845227
2, 128, 786, 3.747154616738239
3, 128, 3988, 6.182569401620566
4, 128, 3342, 5.015751639272772
5, 128, 6822, 4.7740453589826
6, 128, 3807, 5.039693474942212
7, 128, 6495, 5.122520013931955
8, 84, 753, 1.7590527336134107
9, 100, 776, 3.1174264843418844
10, 128, 1858, 4.564152438056179
