Taxi ID, Max openSet Size, A* Steps, Distance
1, 32, 1124, 3.338674766845227
2, 32, 685, 3.749000132766796
3, 32, 1843, 6.182569401620566
4, 32, 2366, 5.452025602447514
5, 32, 3334, 4.856694437319609
6, 32, 2357, 5.110824878567199
7, 32, 3771, 5.414477970441248
8, 32, 619, 1.7590527336134107
9, 32, 654, 3.1174264843418844
10, 32, 1088, 4.564152438056179
