Taxi ID, Max openSet Size, A* Steps, Distance
1, 16, 942, 3.4282079896968147
2, 16, 545, 3.753986482793803
3, 16, 1268, 6.182569401620566
4, 16, 1301, 5.34738095373652
5, 16, 2418, 5.369099652691639
6, 16, 1698, 5.197415607349587
7, 16, 2386, 5.427548622201892
8, 16, 516, 1.7852897969710517
9, 16, 487, 3.1174264843418844
10, 16, 859, 4.614074763360661
